,epoch,training_loss,training_error,test_error
0,1,0.8255112113860937,37.07209275319026,34.8497314453125
1,2,0.7936723587604669,36.439353282635025,36.87394332885742
2,3,0.7370829650988946,34.2348135801462,33.61973190307617
3,4,0.7071232211131316,33.30338393724882,31.7972412109375
4,5,0.7052699957902615,32.99455536328829,31.31953239440918
5,6,0.6845882156720529,32.38819613823524,31.58746337890625
6,7,0.6736727580428123,32.23522993234488,31.66736602783203
7,8,0.6653113611615621,31.785893256847675,31.131216049194336
8,9,0.6317810393296756,30.62032960011409,30.63154411315918
9,10,0.6388984528871683,30.979628489567684,30.940473556518555
10,11,0.6467609502948247,31.313159392430233,31.439496994018555
11,12,0.6443760612836251,30.863609350644627,31.737648010253906
12,13,0.6773628088144156,32.16759010461661,32.43351364135742
13,14,0.631470803457957,30.556503479297344,30.871362686157227
14,15,0.6071789895112698,29.764909817622257,30.231489181518555
15,16,0.607296018073192,29.876611636235165,29.50227928161621
16,17,0.6071418225765228,29.361885584317722,29.36922836303711
17,18,0.606327588741596,29.976785806509163,29.821611404418945
18,19,0.5913127557589457,29.151754049154427,30.836050033569336
19,20,0.595367852311868,29.375110846299393,28.959049224853516
20,21,0.5982218040869787,29.443561700674202,30.12224006652832
21,22,0.5953108920500829,29.35385722380418,29.212772369384766
22,23,0.6258880920135058,30.4875608590933,29.42051124572754
23,24,0.5928694158792496,29.256729162656345,28.219324111938477
24,25,0.5987283501487511,29.621773609748253,30.31266212463379
25,26,0.574166975915432,28.812210449805626,30.0559024810791
26,27,0.577697271337876,28.82832222718459,28.68582534790039
27,28,0.5818535307279,29.099103304056023,29.659074783325195
28,29,0.5842131364804047,29.40000295639038,29.455379486083984
29,30,0.5657256302925256,28.587342519026535,29.720109939575195
30,31,0.5393868214808978,27.828686163975643,28.50030517578125
31,32,0.5491501327890617,27.805646896362305,28.191862106323242
32,33,0.554246298968792,27.918114992288444,28.406835556030273
33,34,0.5614253379977666,28.124161280118503,28.543630599975586
34,35,0.5238494423146431,27.198754457327034,29.165382385253906
35,36,0.5433688501899059,27.788933827326847,29.093896865844727
36,37,0.5469253355493913,28.058331672961895,28.15601348876953
37,38,0.5430841961732278,27.763211727142334,28.90920066833496
38,39,0.5346940990823966,27.231497801267185,27.560447692871094
39,40,0.5299380367191938,27.181489907778225,27.887584686279297
40,41,0.5432645351840899,27.489049214583176,27.97736930847168
41,42,0.5386363600309079,27.77809051366953,28.127079010009766
42,43,0.5143709452106402,26.653356552124023,28.213624954223633
43,44,0.5061168461464919,26.38724708557129,28.495574951171875
44,45,0.5064014093233988,26.788243697239803,27.57169532775879
45,46,0.5129502490162849,26.76335573196411,28.84180450439453
46,47,0.49833235717736757,26.454798038189228,28.216890335083008
47,48,0.5132507498447711,27.032324460836556,28.118165969848633
