,epoch,training_loss,training_error,test_error
0,1,0.7503321012564464,42.36926193574889,38.58579635620117
1,2,0.7269834614960493,41.81876074529327,37.18527603149414
2,3,0.6647295363708935,39.048054450381116,36.88845443725586
3,4,0.6285364161022996,37.81297501420553,36.7472038269043
4,5,0.6151540508839937,37.233870700397325,36.898502349853516
5,6,0.6107474169899932,36.83061164248306,36.42639923095703
6,7,0.6065119046025571,36.62693099638002,35.63434982299805
7,8,0.5963541886447805,36.23008483279068,36.678810119628906
8,9,0.6000407227372702,36.21447804543824,35.5861930847168
9,10,0.5932219194627442,36.01073081092497,35.17105484008789
10,11,0.5840812913611927,35.52165571567232,35.58086395263672
11,12,0.5828258265963698,35.416219745062094,35.175174713134766
12,13,0.5746169860384106,35.10774600611324,33.13732147216797
13,14,0.5687798106037409,34.78978330899129,34.60688018798828
14,15,0.5707751665495139,34.8889878028262,33.46128845214844
15,16,0.5658394849933355,34.74729900866483,33.232547760009766
16,17,0.5720523366358428,34.89940697323959,35.04307556152344
17,18,0.5637196236479599,34.707983894685725,33.146240234375
18,19,0.5639865939068583,34.57800554596217,33.76232147216797
19,20,0.5575211111423188,34.23439036006421,33.512237548828125
20,21,0.5519999477979356,34.034469334425125,32.595523834228516
21,22,0.5504033370355589,34.16762012717998,34.30390548706055
22,23,0.5547104504256122,34.36630887056874,33.31565856933594
23,24,0.5545709473369396,34.417198569373745,33.406524658203125
24,25,0.5472924137009983,33.86469881513477,33.0823974609375
25,26,0.5469274109443732,33.9831919712303,33.25621032714844
26,27,0.5468969461137214,33.89404988921849,32.8896369934082
27,28,0.5447686348868682,33.82369164660969,32.54180145263672
28,29,0.5399296885043119,33.669296619111456,32.61349868774414
29,30,0.5346803947360115,33.44748643858243,33.75102996826172
30,31,0.5335172267086739,33.300998755260906,34.75311279296875
31,32,0.5324903354708073,33.408961827776075,32.73102569580078
32,33,0.5403296918468138,33.72145549807928,33.61069107055664
33,34,0.544857986205447,33.874229431152344,33.111507415771484
34,35,0.5341033115323666,33.261969574784814,33.24321365356445
35,36,0.52726232372554,33.28406848738679,33.007537841796875
36,37,0.5244310800216895,32.904865467442875,32.350730895996094
37,38,0.5255879103082471,33.00217233505924,31.804922103881836
38,39,0.5231708751051827,32.87488619205171,32.73322296142578
